1
 ESATAN-TMS  2025                                                      Page     1
 16 February  2026  10:31:22                                  DRAGOSAT_V2_GEO_HOT





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    29
 ENBALA = 9.405E-03      ENBALR = 5.E-05


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+DRAGOSAT_V2_GEO_HOT                                                             


          NODE   LABEL                              T             QS            

        41002    INS_PLD_1                        76.25          0.00
        41003    INS_PLD_1                        79.93          0.00
        41004    INS_PLD_1                        75.93          0.00
        41005    INS_PLD_1                        62.86          0.00
        42000    INS_PLD_2                        78.63          0.00
        42001    INS_PLD_2                        79.73          0.00
        42002    INS_PLD_2                        77.93          0.00
        42003    INS_PLD_2                        77.13          0.00
        42004    INS_PLD_2                        77.70          0.00
        42005    INS_PLD_2                        63.03          0.00
        50000    Radiator                          6.51          1.86
        50001    Radiator                         32.49          0.03
        50002    Radiator                         32.12          0.04
        50003    Radiator                         30.96          0.01
        50004    Radiator                         33.36          0.05
        50005    Radiator                         54.38          0.00
 X      99998    INACTIVE_NODE                     0.00          0.00
        99999    ENVIRONMENT                    -270.00          0.00



          NODE          QE            QA            QI            C             

          100          0.02          0.05          0.00         11.48
          101          0.02          0.05          0.00         11.48
          102          0.02          0.05          0.00         11.48
          103          0.02          0.05          0.00         11.48
          104          0.02          0.05          0.00         11.48
          105          0.02          0.05          0.00         11.48
          106          0.02          0.05          0.00         11.48
          107          0.02          0.05          0.00         11.48
          108          0.02          0.05          0.00         11.48
          109          0.02          0.05          0.00         11.48
          110          0.02          0.05          0.00         11.48
          111          0.02          0.05          0.00         11.48
          112          0.02          0.05          0.00         11.48
          113          0.02          0.05          0.00         11.48
          114          0.02          0.05          0.00         11.48
          115          0.02          0.05          0.00         11.48
          150          0.00          0.00          0.00         11.48
          151          0.00          0.00          0.00         11.48
          152          0.00          0.00          0.00         11.48
          153          0.00          0.00          0.00         11.48
          154          0.00          0.00          0.00         11.48
          155          0.00          0.00          0.00         11.48
          156          0.00          0.00          0.00         11.48
          157          0.00          0.00          0.00         11.48
          158          0.00          0.00          0.00         11.48
          159          0.00          0.00          0.00         11.48
          160          0.00          0.00          0.00         11.48
          161          0.00          0.00          0.00         11.48
          162          0.00          0.00          0.00         11.48
          163          0.00          0.00          0.00         11.48
          164          0.00          0.00          0.00         11.48
          165          0.00          0.00          0.00         11.48
          200          0.02          0.04          0.00          9.68
          201          0.02          0.04          0.00          9.68
          202          0.02          0.04          0.00          9.68
          203          0.02          0.04          0.00          9.68
          204          0.02          0.04          0.00          9.68
          205          0.02          0.04          0.00          9.68
          206          0.02          0.04          0.00          9.68
          207          0.02          0.04          0.00          9.68
          208          0.02          0.04          0.00          9.68
          209          0.02          0.04          0.00          9.68
          210          0.02          0.04          0.00          9.68
          211          0.02          0.04          0.00          9.68
          212          0.02          0.03          0.00          9.68
          213          0.01          0.03          0.00          9.68
          214          0.01          0.03          0.00          9.68
          215          0.02          0.03          0.00          9.68
          250          0.00          0.00          0.00          9.68
          251          0.00          0.00          0.00          9.68
          252          0.00          0.00          0.00          9.68
          253          0.00          0.00          0.00          9.68
          254          0.00          0.00          0.00          9.68
          255          0.00          0.00          0.00          9.68
          256          0.00          0.00          0.00          9.68
          257          0.00          0.00          0.00          9.68
          258          0.00          0.00          0.00          9.68
          259          0.00          0.00          0.00          9.68
          260          0.00          0.00          0.00          9.68
          261          0.00          0.00          0.00          9.68
          262          0.00          0.00          0.00          9.68
          263          0.00          0.00          0.00          9.68
          264          0.00          0.00          0.00          9.68
          265          0.00          0.00          0.00          9.68
          300          0.02          0.05          0.00         11.48
          301          0.02          0.05          0.00         11.48
          302          0.02          0.05          0.00         11.48
          303          0.02          0.05          0.00         11.48
          304          0.02          0.05          0.00         11.48
          305          0.02          0.05          0.00         11.48
          306          0.02          0.05          0.00         11.48
          307          0.02          0.05          0.00         11.48
          308          0.02          0.05          0.00         11.48
          309          0.02          0.05          0.00         11.48
          310          0.02          0.05          0.00         11.48
          311          0.02          0.05          0.00         11.48
          312          0.02          0.05          0.00         11.48
          313          0.02          0.05          0.00         11.48
          314          0.02          0.05          0.00         11.48
          315          0.02          0.05          0.00         11.48
          350          0.00          0.00          0.00         11.48
          351          0.00          0.00          0.00         11.48
          352          0.00          0.00          0.00         11.48
          353          0.00          0.00          0.00         11.48
          354          0.00          0.00          0.00         11.48
          355          0.00          0.00          0.00         11.48
          356          0.00          0.00          0.00         11.48
          357          0.00          0.00          0.00         11.48
