1
 ESATAN-TMS  2025                                                      Page     1
 17 February  2026  11:08:16                              DRAGOSAT_V2_EXEC_ESATAN





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    29
 ENBALA = 1.218E-02      ENBALR = 6.E-05


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+DRAGOSAT_V2_EXEC_ESATAN                                                         


          NODE   LABEL                              T             QS            

          252          0.00          0.00          0.00          9.68
          253          0.00          0.00          0.00          9.68
          254          0.00          0.00          0.00          9.68
          255          0.00          0.00          0.00          9.68
          256          0.00          0.00          0.00          9.68
          257          0.00          0.00          0.00          9.68
          258          0.00          0.00          0.00          9.68
          259          0.00          0.00          0.00          9.68
          260          0.00          0.00          0.00          9.68
          261          0.00          0.00          0.00          9.68
          262          0.00          0.00          0.00          9.68
          263          0.00          0.00          0.00          9.68
          264          0.00          0.00          0.00          9.68
          265          0.00          0.00          0.00          9.68
          300          0.02          0.05          0.00         11.48
          301          0.02          0.05          0.00         11.48
          302          0.02          0.05          0.00         11.48
          303          0.02          0.05          0.00         11.48
          304          0.02          0.05          0.00         11.48
          305          0.02          0.05          0.00         11.48
          306          0.02          0.05          0.00         11.48
          307          0.02          0.05          0.00         11.48
          308          0.02          0.05          0.00         11.48
          309          0.02          0.05          0.00         11.48
          310          0.02          0.05          0.00         11.48
          311          0.02          0.05          0.00         11.48
          312          0.02          0.05          0.00         11.48
          313          0.02          0.05          0.00         11.48
          314          0.02          0.05          0.00         11.48
          315          0.02          0.05          0.00         11.48
          350          0.00          0.00          0.00         11.48
          351          0.00          0.00          0.00         11.48
          352          0.00          0.00          0.00         11.48
          353          0.00          0.00          0.00         11.48
          354          0.00          0.00          0.00         11.48
          355          0.00          0.00          0.00         11.48
          356          0.00          0.00          0.00         11.48
          357          0.00          0.00          0.00         11.48
          358          0.00          0.00          0.00         11.48
          359          0.00          0.00          0.00         11.48
          360          0.00          0.00          0.00         11.48
          361          0.00          0.00          0.00         11.48
          362          0.00          0.00          0.00         11.48
          363          0.00          0.00          0.00         11.48
          364          0.00          0.00          0.00         11.48
          365          0.00          0.00          0.00         11.48
          400          0.02          0.05          0.00          9.68
          401          0.02          0.05          0.00          9.68
          402          0.02          0.05          0.00          9.68
          403          0.02          0.05          0.00          9.68
          404          0.02          0.05          0.00          9.68
          405          0.02          0.04          0.00          9.68
